strategy,description,rebalance_frequency,top_n,start_date,end_date,initial_capital,total_contributions,total_invested_capital,final_equity,total_return,cagr,annual_volatility,sharpe,max_drawdown,avg_monthly_turnover,rebalance_count
momentum_6m,Top N stocks by trailing 6-month return,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,197950.87621651083,7.184067907225627,1.492696403590482,0.4414611573376473,3.3812632862030205,-0.3896409165956132,1.0359328553850684,8
low_vol_momentum,Top N by 6-month return penalized by 3-month volatility,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,145761.71001258894,4.536045726888432,1.1033301258688666,0.4103858655895965,2.6885188267479077,-0.36095991631810675,1.1358045853993501,8
breakout_52w,Top N by proximity to 52-week highs blended with 6-month momentum,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,139317.15262719514,4.235334233947279,1.052905469996566,0.36330094838048704,2.8981632849850216,-0.20497590406624622,0.7899939505456581,6
momentum_3m,Top N stocks by trailing 3-month return,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,113542.90664209444,3.0418903573675014,0.8346385687759008,0.4071851532794933,2.0497765256264193,-0.30326478543265456,1.3944415969637196,9
blend_momentum,Top N by blended 6m/12m momentum and lower volatility,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,106962.24187733457,2.8609404503530835,0.7984900438596909,0.39178385226519313,2.038088193893208,-0.270969097265363,0.6744356986305617,6
drawdown_filtered_momentum,Top N by blended momentum while avoiding names in deeper 6-month drawdowns,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,108549.59340482461,2.836959450504751,0.7936279950634724,0.36004453864260333,2.2042495021741293,-0.212287640049036,0.7140285361209573,6
momentum_12m,Top N stocks by trailing 12-month return,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,104319.24551929953,2.7500530087724098,0.7758625796288381,0.39894827466125404,1.9447698584174127,-0.25772301997392577,0.6292736216812779,6
trend_filtered_momentum,Hold top N 12-month momentum names only when SPY and stock are above 200DMA,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,104319.24551929953,2.7500530087724098,0.7758625796288381,0.39894827466125404,1.9447698584174127,-0.25772301997392577,0.6292736216812779,6
momentum_12m_skip_1m,Top N stocks by 12-month return excluding the latest 1-month move,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,92085.34075772903,2.2804473374063914,0.6755755851066143,0.39342749705038416,1.7171539614581055,-0.25772301997392577,0.6044215740479505,6
risk_adjusted_momentum,Top N by 12-month return divided by 3-month volatility,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,60507.65225675458,1.0915538117671733,0.37796527594893825,0.2800206430725865,1.3497764729115442,-0.18518588114180512,0.8019910790596507,6
volume_confirmed_momentum,Top N by 6-month momentum only when supported by stronger-than-average volume,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,46160.63785429049,0.6172906106266869,0.2322953637359626,0.3129347326380771,0.7423125000465273,-0.3201122292455971,1.1383219242822187,7
volume_adjusted_momentum,Top N by 6-month momentum boosted by relative volume and penalized by volatility,quarterly,5,2024-02-28,2026-06-22,10000.0,20000.0,30000.0,45190.71898388822,0.5181430794042243,0.1988842197890981,0.25864782193522445,0.7689383127258906,-0.2633954089902697,1.1911127955407157,7
