strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,ticker,shares,price,execution_price,market_value,weight,target_weight,allocation_mode,cash_contribution,cash_after,total_equity,rank_on_signal
momentum_6m,quarterly,5,1,2020-03-31,2020-04-01,CASH,0,1.0,,12000.0,1.0,,equal_weight,2000.0,12000.0,12000.0,
momentum_6m,quarterly,5,2,2020-06-30,2020-07-01,CASH,0,1.0,,14000.0,1.0,,equal_weight,2000.0,14000.0,14000.0,
momentum_6m,quarterly,5,3,2020-09-30,2020-10-01,APA,397,8.002620697021484,8.062790512417534,3177.0404167175293,0.19848302326135045,0.2,equal_weight,2000.0,6.987945960176891,16006.610361502779,3.0
momentum_6m,quarterly,5,3,2020-09-30,2020-10-01,DHI,44,73.13528442382812,72.35243145413817,3217.9525146484375,0.20103897339738333,0.2,equal_weight,2000.0,6.987945960176891,16006.610361502779,5.0
momentum_6m,quarterly,5,3,2020-09-30,2020-10-01,FCX,219,14.485467910766602,14.625198755409428,3172.3174724578857,0.19818796114932438,0.2,equal_weight,2000.0,6.987945960176891,16006.610361502779,2.0
momentum_6m,quarterly,5,3,2020-09-30,2020-10-01,LEN,44,73.75011444091797,73.33213981509284,3245.0050354003906,0.20272905769012134,0.2,equal_weight,2000.0,6.987945960176891,16006.610361502779,4.0
momentum_6m,quarterly,5,3,2020-09-30,2020-10-01,RCL,50,63.74613952636719,63.357145599710876,3187.3069763183594,0.19912441824560784,0.2,equal_weight,2000.0,6.987945960176891,16006.610361502779,1.0
momentum_6m,quarterly,5,3,2020-09-30,2020-10-01,CASH,0,1.0,,6.987945960176891,0.00043656625621271315,,equal_weight,2000.0,6.987945960176891,16006.610361502779,
momentum_6m,quarterly,5,4,2020-12-31,2021-01-04,ALB,31,143.13430786132812,143.38749982467607,4437.163543701172,0.20144181571866887,0.2,equal_weight,2000.0,10.094870664101979,22027.023177243693,5.0
momentum_6m,quarterly,5,4,2020-12-31,2021-01-04,ALGN,8,526.4600219726562,549.6099853515625,4211.68017578125,0.191205145692695,0.2,equal_weight,2000.0,10.094870664101979,22027.023177243693,4.0
momentum_6m,quarterly,5,4,2020-12-31,2021-01-04,FCX,176,25.282032012939453,25.375186504556282,4449.637634277344,0.20200812422417128,0.2,equal_weight,2000.0,10.094870664101979,22027.023177243693,3.0
momentum_6m,quarterly,5,4,2020-12-31,2021-01-04,TPR,158,28.733081817626953,28.144542754808562,4539.826927185059,0.20610260817608766,0.2,equal_weight,2000.0,10.094870664101979,22027.023177243693,2.0
momentum_6m,quarterly,5,4,2020-12-31,2021-01-04,TSLA,18,243.2566680908203,239.82000732421875,4378.620025634766,0.1987840113664726,0.2,equal_weight,2000.0,10.094870664101979,22027.023177243693,1.0
momentum_6m,quarterly,5,4,2020-12-31,2021-01-04,CASH,0,1.0,,10.094870664101979,0.00045829482190453574,,equal_weight,2000.0,10.094870664101979,22027.023177243693,
momentum_6m,quarterly,5,5,2021-03-31,2021-04-01,AMAT,39,135.44566345214844,132.2107355974075,5282.380874633789,0.1955747712659273,0.2,equal_weight,2000.0,7.863120320721176,27009.520913365766,5.0
momentum_6m,quarterly,5,5,2021-03-31,2021-04-01,DVN,303,18.263505935668945,17.2376411585837,5533.84229850769,0.20488487434700284,0.2,equal_weight,2000.0,7.863120320721176,27009.520913365766,4.0
momentum_6m,quarterly,5,5,2021-03-31,2021-04-01,FANG,87,65.3743667602539,59.70783641148443,5687.56990814209,0.21057648250723224,0.2,equal_weight,2000.0,7.863120320721176,27009.520913365766,3.0
momentum_6m,quarterly,5,5,2021-03-31,2021-04-01,OXY,209,25.56902313232422,25.04606331721628,5343.925834655762,0.19785341072122828,0.2,equal_weight,2000.0,7.863120320721176,27009.520913365766,1.0
