strategy,allocation_mode,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,selected_count,cash_contribution,portfolio_value_before_contribution,portfolio_value_before,portfolio_value_after,buy_notional,sell_notional,fees,traded_notional,turnover,target_turnover_threshold,skipped_by_turnover,cash_after,tax
momentum_6m,equal_weight,quarterly,5,1,2010-03-01,2010-03-02,0,2000.0,10000.0,12000.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12000.0,0.0
momentum_6m,equal_weight,quarterly,5,2,2010-05-28,2010-06-01,0,2000.0,12000.0,14000.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14000.0,0.0
momentum_6m,equal_weight,quarterly,5,3,2010-08-31,2010-09-01,5,2000.0,14000.0,16000.0,16384.002324880723,15970.91285233053,0.0,11.17963899663137,15970.91285233053,0.9981820532706581,0.0,False,17.907508672838773,0.0
momentum_6m,equal_weight,quarterly,5,4,2010-12-01,2010-12-02,5,2000.0,18530.165675564305,20530.165675564305,20646.885262193333,16394.516035879442,14401.004337514463,21.556864261375733,30795.520373393905,1.5000132419802032,0.0,False,2.83894604648275,0.0
momentum_6m,equal_weight,quarterly,5,5,2011-03-01,2011-03-02,5,2000.0,22219.925009436425,24219.925009436425,24303.38249455276,24187.413487747166,22217.086063389943,32.48314968579598,46404.49955113711,1.9159637997664014,0.0,False,0.028372003463118745,0.0
momentum_6m,equal_weight,quarterly,5,6,2011-05-31,2011-06-01,5,2000.0,24107.949499744813,26107.949499744813,25698.25929890528,20864.4221295206,18892.979432355205,27.830181093313065,39757.401561875806,1.522808275780693,0.0,False,0.7554937447553058,0.0
momentum_6m,equal_weight,quarterly,5,7,2011-08-31,2011-09-01,5,2000.0,23269.85119708548,25269.85119708548,25172.475016371212,20184.514805496696,18212.65743841557,26.878020570738588,38397.17224391227,1.519485490612657,0.0,False,2.0201060928906394,0.0
momentum_6m,equal_weight,quarterly,5,8,2011-11-30,2011-12-01,5,2000.0,25179.238931941163,27179.238931941163,27280.99056871879,21693.610282194306,19723.727499530654,28.992136447207468,41417.33778172496,1.523859365063056,0.0,False,3.145186982033028,0.0
momentum_6m,equal_weight,quarterly,5,9,2012-02-29,2012-03-01,5,2000.0,29924.40419138633,31924.40419138633,31695.556713201895,25509.44968610552,23542.73667939622,34.33653045585122,49052.18636550174,1.5365106290295854,0.0,False,2.0956498168842046,0.0
momentum_6m,equal_weight,quarterly,5,10,2012-05-30,2012-05-31,5,2000.0,29915.292676973662,31915.292676973662,32264.83486206921,19129.73491232993,17156.379541666756,25.400280117797678,36286.114453996684,1.1369507032650994,0.0,False,3.3399990359156675,0.0
momentum_6m,equal_weight,quarterly,5,11,2012-08-29,2012-08-30,5,2000.0,38702.73171335927,40702.73171335927,40472.58702474835,25321.11674383474,23357.820052526302,34.07525575745273,48678.93679636104,1.195962402208593,0.0,False,5.968051970026529,0.0
momentum_6m,equal_weight,quarterly,5,12,2012-11-30,2012-12-03,5,2000.0,44528.92155558973,46528.92155558973,45067.96659325523,27403.858964436597,26492.165573885814,37.72721717682569,53896.02453832241,1.158333843476921,0.0,False,0.946650017927567,1055.6007942244903
momentum_6m,equal_weight,quarterly,5,13,2013-02-26,2013-02-27,5,2000.0,57021.87232787885,59021.87232787885,60023.928434256406,35378.011343120925,33425.952333474466,48.16277457361677,68803.96367659539,1.1657367169644326,0.0,False,0.7248657978507964,0.0
momentum_6m,equal_weight,quarterly,5,14,2013-05-29,2013-05-30,5,2000.0,66495.53699194596,68495.53699194596,69237.63642366973,54706.15221514685,52804.68170355595,75.25758374309196,107510.8339187028,1.5696034900981133,0.0,False,23.99677046385507,0.0
momentum_6m,equal_weight,quarterly,5,15,2013-08-30,2013-09-03,5,2000.0,78414.41104983361,80414.41104983361,81115.70882103314,32253.795436021188,30274.612179794312,43.76988533107085,62528.4076158155,0.7775771382204867,0.0,False,1.0436289059083919,0.0
momentum_6m,equal_weight,quarterly,5,16,2013-11-29,2013-12-02,5,2000.0,95730.94268113357,97730.94268113357,92761.29844028626,37558.97647341385,40737.549593390286,54.80756824676289,78296.52606680413,0.801143669740933,0.0,False,3.684512445075164,5121.124668190507
momentum_6m,equal_weight,quarterly,5,17,2014-02-28,2014-03-03,5,2000.0,96713.92599440424,98713.92599440424,99805.57573468871,59158.57324866207,57239.40964981599,81.47858802893464,116397.98289847806,1.1791444998862295,0.0,False,3.04232557006614,0.0
momentum_6m,equal_weight,quarterly,5,18,2014-05-30,2014-06-02,5,2000.0,108283.6628040202,110283.66280402022,110278.89988383943,66107.80905282972,64223.156730980154,91.2316760486669,130330.96578380986,1.1817794446618513,0.0,False,27.158327671835238,0.0
momentum_6m,equal_weight,quarterly,5,19,2014-08-29,2014-09-02,5,2000.0,121658.08670146053,123658.08670146053,123387.87645934532,98815.52796800292,96950.73293320448,137.03638263084517,195766.2609012074,1.5831254236840395,0.0,False,25.326910242540777,0.0
momentum_6m,equal_weight,quarterly,5,20,2014-12-01,2014-12-02,5,2000.0,139241.51728679502,141241.51728679502,132761.0185739077,79001.10723982906,86541.10779178087,115.87955052212695,165542.21503160993,1.1720506704517457,0.0,False,20.311321405250936,9429.136590266977
momentum_6m,equal_weight,quarterly,5,21,2015-02-27,2015-03-02,5,2000.0,141440.39828891316,143440.39828891316,144395.6501711175,114575.24528128741,112723.42357257994,159.10906819770713,227298.66885386733,1.584621010296203,0.0,False,9.38054450007661,0.0
