strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,action,ticker,shares,price,notional,fee,allocation_mode,pre_shares,post_shares,purchase_price,realized_pnl,realized_pnl_pct,rank_on_signal
momentum_3m,quarterly,5,2,2020-05-29,2020-06-01,BUY,CDNS,22,90.80000305175781,1997.6000671386719,1.3983200469970702,equal_weight,0,22,,,,4
momentum_3m,quarterly,5,2,2020-05-29,2020-06-01,BUY,PYPL,13,153.57000433075163,1996.4100562997712,1.3974870394098398,equal_weight,0,13,,,,2
momentum_3m,quarterly,5,2,2020-05-29,2020-06-01,BUY,REGN,3,600.0439938397731,1800.1319815193192,1.2600923870635234,equal_weight,0,3,,,,5
momentum_3m,quarterly,5,2,2020-05-29,2020-06-01,BUY,TSCO,94,22.08984117924563,2076.4450708490895,1.4535115495943627,equal_weight,0,94,,,,3
momentum_3m,quarterly,5,2,2020-05-29,2020-06-01,BUY,WST,10,211.3093934618497,2113.093934618497,1.4791657542329477,equal_weight,0,10,,,,1
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,BUY,AMD,26,91.91999816894531,2389.919952392578,1.6729439666748047,equal_weight,0,26,,,,1
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,BUY,AAPL,19,128.77367095981276,2446.6997482364422,1.7126898237655095,equal_weight,0,19,,,,5
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,SELL,CDNS,22,111.18000030517578,2445.960006713867,1.712172004699707,equal_weight,22,0,90.80000305175781,448.3599395751953,0.22444930141468128,71
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,BUY,FDX,16,158.96261454062451,2543.4018326499922,1.7803812828549945,equal_weight,0,16,,,,2
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,BUY,FCX,168,14.615881279819806,2455.4680550097273,1.718827638506809,equal_weight,0,168,,,,4
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,SELL,PYPL,13,203.82478945071088,2649.7222628592413,1.8548055840014688,equal_weight,13,0,153.57000433075163,653.31220655947,0.3272434961434455,22
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,SELL,REGN,3,610.5869009535987,1831.7607028607963,1.2822324920025574,equal_weight,3,0,600.0439938397731,31.628721341477103,0.017570223553709838,302
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,SELL,TSCO,94,26.96593693954033,2534.798072316791,1.7743586506217537,equal_weight,94,0,22.08984117924563,458.3530014677017,0.2207392855715053,65
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,BUY,UPS,19,127.92938094409769,2430.658237937856,1.7014607665564991,equal_weight,0,19,,,,3
momentum_3m,quarterly,5,3,2020-08-31,2020-09-01,SELL,WST,10,281.30710888047105,2813.0710888047106,1.9691497621632974,equal_weight,10,0,211.30939346184968,699.9771541862137,0.3312569984318228,17
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,SELL,AMD,26,92.88999938964844,2415.1399841308594,1.6905979888916016,equal_weight,26,0,91.91999816894531,25.22003173828125,0.010552667972428603,324
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,BUY,ALGN,5,496.57000732421875,2482.8500366210938,1.7379950256347656,equal_weight,0,5,,,,3
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,SELL,AAPL,19,118.56038101970898,2252.6472393744707,1.5768530675621295,equal_weight,19,0,128.77367095981276,-194.05250886197155,-0.0793119421383203,396
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,SELL,FDX,16,208.135950290168,3330.175204642688,2.3311226432498815,equal_weight,16,0,158.96261454062451,786.773371992696,0.30933899704434437,39
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,SELL,FCX,168,21.891220849665203,3677.725102743754,2.574407571920628,equal_weight,168,0,14.615881279819806,1222.2570477340269,0.4977694762676051,7
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,BUY,GE,60,48.995039526720916,2939.702371603255,2.0577916601222785,equal_weight,0,60,,,,2
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,BUY,GM,69,42.26071991497795,2915.9896741334783,2.0411927718934346,equal_weight,0,69,,,,5
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,BUY,IVZ,222,13.114765529663233,2911.4779475852374,2.038034563309666,equal_weight,0,222,,,,4
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,BUY,TPR,119,24.472747704890118,2912.256976881924,2.038579883817347,equal_weight,0,119,,,,1
momentum_3m,quarterly,5,4,2020-12-01,2020-12-02,SELL,UPS,19,132.48882502762967,2517.2876755249636,1.7621013728674744,equal_weight,19,0,127.92938094409769,86.62943758710753,0.03564032007255903,289
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,SELL,ALGN,5,565.0,2825.0,1.9775,equal_weight,5,0,496.57000732421875,342.14996337890625,0.13780532788220168,110
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,BUY,AMAT,33,116.61034049960645,3848.141236487013,2.693698865540909,equal_weight,0,33,,,,5
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,BUY,FANG,64,58.49909026209774,3743.9417767742552,2.6207592437419787,equal_weight,0,64,,,,3
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,SELL,GE,60,63.975932335986656,3838.5559401591995,2.6869891581114396,equal_weight,60,0,48.995039526720916,898.8535685559445,0.3057634600150789,76
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,SELL,GM,69,50.52077138321204,3485.933225441631,2.4401532578091416,equal_weight,69,0,42.26071991497795,569.9435513081526,0.195454584892355,132
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,SELL,IVZ,222,19.779888313717766,4391.135205645344,3.073794643951741,equal_weight,222,0,13.11476552966323,1479.6572580601069,0.5082151693051036,9
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,BUY,OXY,147,25.75648051650176,3786.202635925759,2.650341845148031,equal_weight,0,147,,,,2
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,BUY,PSKY,63,59.2535586352782,3732.9741940225267,2.6130819358157686,equal_weight,0,63,,,,1
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,SELL,TPR,119,36.45438322420162,4338.071603679993,3.036650122575995,equal_weight,119,0,24.472747704890118,1425.8146267980692,0.4895909386144388,16
momentum_3m,quarterly,5,5,2021-03-01,2021-03-02,BUY,WDC,69,54.14364494200376,3735.9115009982593,2.6151380506987816,equal_weight,0,69,,,,4
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,SELL,AMAT,33,133.26637896400322,4397.790505812106,3.078453354068474,equal_weight,33,0,116.61034049960645,549.649269325093,0.1428350041088592,182
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,SELL,FANG,64,67.04658047006785,4290.9811500843425,3.0036868050590395,equal_weight,64,0,58.49909026209774,547.0393733100873,0.14611321594360135,244
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,BUY,EFX,16,227.8170361707009,3645.0725787312144,2.5515508051118503,equal_weight,0,16,,,,2
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,BUY,EXPD,31,119.40695566788631,3701.6156257044754,2.5911309379931327,equal_weight,0,31,,,,5
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,BUY,GEN,152,24.987008876827574,3798.025349277791,2.6586177444944536,equal_weight,0,152,,,,3
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,BUY,NEM,59,63.19101665856408,3728.269982855281,2.6097889879986966,equal_weight,0,59,,,,4
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,BUY,NUE,39,97.06355112152585,3785.478493739508,2.6498349456176555,equal_weight,0,39,,,,1
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,SELL,OXY,147,24.905987881902842,3661.1802186397176,2.5628261530478023,equal_weight,147,0,25.75648051650176,-125.02241728604122,-0.03302052988388778,408
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,SELL,PSKY,63,37.826442072718486,2383.0658505812644,1.668146095406885,equal_weight,63,0,59.2535586352782,-1349.9083434412623,-0.361617378872541,424
momentum_3m,quarterly,5,6,2021-05-28,2021-06-01,SELL,WDC,69,57.10815023684299,3940.462366342166,2.7583236564395164,equal_weight,69,0,54.14364494200376,204.55086534390693,0.05475259927577236,329
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,BUY,DXCM,28,132.97500610351562,3723.3001708984375,2.606310119628906,equal_weight,0,28,,,,5
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,SELL,EFX,16,262.2311314960688,4195.698103937101,2.936988672755971,equal_weight,16,0,227.8170361707009,550.6255252058868,0.1510602363362405,65
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,SELL,EXPD,31,117.55686153339681,3644.262707535301,2.550983895274711,equal_weight,31,0,119.40695566788631,-57.352918169174245,-0.01549402314246474,237
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,BUY,FTNT,58,63.507999420166016,3683.463966369629,2.57842477645874,equal_weight,0,58,,,,2
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,SELL,GEN,152,24.124084997236203,3666.8609195799027,2.5668026437059317,equal_weight,152,0,24.987008876827574,-131.1644296978884,-0.034534901069796654,339
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,BUY,MRNA,10,382.8370056152344,3828.3700561523438,2.6798590393066406,equal_weight,0,10,,,,1
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,BUY,MPWR,8,480.6984153286075,3845.58732262886,2.691911125840202,equal_weight,0,8,,,,3
momentum_3m,quarterly,5,7,2021-08-31,2021-09-01,SELL,NEM,59,50.28287551377998,2966.6896553130186,2.0766827587191132,equal_weight,59,0,63.19101665856408,-761.5803275422622,-0.20427177512477487,418
